"COL0","COL1","COL2","COL3"
"4620000.00",2224010.00,250525.00,407255.00
"4620001.00",1590.00,265.00,310.00
"4620002.00",1955.00,345.00,415.00
"4620003.00",3555.00,590.00,800.00
"4620004.00",1920.00,280.00,455.00
"4620005.00",1810.00,305.00,385.00
"4620006.00",2420.00,530.00,540.00
"4620007.00",3270.00,445.00,615.00
"4620008.00",1875.00,295.00,300.00
"4620009.00",2120.00,460.00,410.00
"4620010.00",880.00,100.00,195.00
"4620011.00",3325.00,325.00,590.00
"4620012.01",1325.00,185.00,315.00
"4620012.02",2250.00,340.00,365.00
"4620013.00",2950.00,380.00,570.00
"4620014.01",4895.00,565.00,730.00
"4620014.02",,,
"4620015.00",2620.00,380.00,365.00
"4620016.00",1505.00,315.00,190.00
"4620017.00",1340.00,140.00,205.00
"4620018.00",1315.00,250.00,150.00
"4620019.00",1490.00,280.00,255.00
"4620021.00",1775.00,425.00,330.00
"4620022.00",940.00,135.00,155.00
"4620023.00",910.00,130.00,140.00
"4620024.00",1765.00,240.00,265.00
"4620025.00",1975.00,300.00,310.00
"4620026.00",1735.00,210.00,275.00
"4620027.00",1130.00,145.00,225.00
"4620028.00",1495.00,165.00,200.00
"4620029.00",2340.00,290.00,380.00
"4620030.00",2025.00,200.00,330.00
"4620031.00",1785.00,100.00,300.00
"4620032.00",1140.00,125.00,190.00
"4620033.00",1135.00,120.00,210.00
"4620034.00",1730.00,315.00,335.00
"4620035.00",1345.00,105.00,135.00
"4620036.00",1400.00,140.00,195.00
"4620037.00",1950.00,250.00,270.00
"4620038.00",1245.00,220.00,125.00
"4620039.00",1455.00,145.00,210.00
"4620040.00",,,
"4620041.00",1180.00,130.00,210.00
"4620042.00",680.00,55.00,100.00
"4620043.00",660.00,45.00,95.00
"4620044.00",1435.00,145.00,195.00
"4620045.00",930.00,75.00,175.00
"4620046.00",1510.00,125.00,195.00
"4620047.00",535.00,55.00,70.00
"4620048.00",1625.00,125.00,160.00
"4620049.00",845.00,70.00,80.00
"4620050.00",770.00,75.00,85.00
"4620051.00",945.00,40.00,65.00
"4620052.00",1125.00,135.00,145.00
"4620053.00",710.00,50.00,60.00
"4620054.00",860.00,10.00,120.00
"4620055.01",3240.00,80.00,300.00
"4620055.02",405.00,20.00,30.00
"4620056.00",780.00,50.00,120.00
"4620057.00",710.00,60.00,90.00
"4620058.00",690.00,45.00,75.00
"4620059.00",945.00,10.00,120.00
"4620060.00",470.00,195.00,155.00
"4620061.00",505.00,30.00,25.00
"4620062.00",1600.00,25.00,135.00
"4620063.00",560.00,10.00,40.00
"4620064.00",945.00,10.00,90.00
"4620065.01",3970.00,100.00,375.00
"4620065.02",2145.00,45.00,275.00
"4620066.01",1720.00,35.00,220.00
"4620066.02",1220.00,65.00,175.00
"4620067.00",1060.00,100.00,180.00
"4620068.00",880.00,190.00,255.00
"4620069.01",2505.00,20.00,160.00
"4620069.02",1170.00,30.00,105.00
"4620070.01",1630.00,25.00,150.00
"4620070.02",2495.00,50.00,170.00
"4620071.00",,,
"4620072.00",2210.00,340.00,410.00
"4620073.00",1125.00,155.00,160.00
"4620074.00",2350.00,350.00,355.00
"4620075.00",1690.00,230.00,250.00
"4620076.00",1900.00,235.00,265.00
"4620077.00",1720.00,175.00,280.00
"4620078.00",2285.00,215.00,330.00
"4620079.00",3050.00,295.00,415.00
"4620080.00",575.00,15.00,85.00
"4620081.00",2690.00,205.00,340.00
"4620082.00",1360.00,185.00,260.00
"4620083.00",2300.00,280.00,355.00
"4620084.00",1475.00,150.00,175.00
"4620085.00",400.00,80.00,115.00
"4620086.00",2405.00,270.00,460.00
"4620087.00",2090.00,455.00,390.00
"4620088.00",2000.00,355.00,350.00
"4620089.00",2935.00,290.00,670.00
"4620090.00",2585.00,350.00,485.00
"4620091.00",,,
"4620092.00",3355.00,545.00,735.00
"4620093.00",1975.00,385.00,370.00
"4620094.01",3510.00,405.00,785.00
"4620094.02",,,
"4620095.00",1255.00,40.00,180.00
"4620096.00",1405.00,45.00,135.00
"4620097.01",4075.00,170.00,720.00
"4620097.02",2390.00,95.00,440.00
"4620098.00",2805.00,130.00,455.00
"4620099.00",2785.00,145.00,325.00
"4620100.01",2220.00,155.00,340.00
"4620100.02",1940.00,120.00,385.00
"4620101.01",1920.00,195.00,320.00
"4620101.02",2025.00,225.00,400.00
"4620102.00",2430.00,65.00,220.00
"4620103.00",1345.00,30.00,110.00
"4620104.00",1515.00,10.00,100.00
"4620105.00",1785.00,35.00,165.00
"4620106.00",1030.00,30.00,110.00
"4620107.00",1015.00,30.00,140.00
