"COL0","COL1","COL2"
"4620000.00",1101985.00,203895.00
"4620001.00",680.00,190.00
"4620002.00",905.00,265.00
"4620003.00",1710.00,450.00
"4620004.00",820.00,210.00
"4620005.00",795.00,195.00
"4620006.00",1190.00,390.00
"4620007.00",1515.00,365.00
"4620008.00",815.00,170.00
"4620009.00",895.00,220.00
"4620010.00",365.00,95.00
"4620011.00",1535.00,295.00
"4620012.01",620.00,175.00
"4620012.02",955.00,215.00
"4620013.00",1160.00,215.00
"4620014.01",1710.00,340.00
"4620014.02",,
"4620015.00",935.00,245.00
"4620016.00",490.00,125.00
"4620017.00",485.00,130.00
"4620018.00",415.00,100.00
"4620019.00",500.00,120.00
"4620021.00",610.00,200.00
"4620022.00",330.00,90.00
"4620023.00",280.00,65.00
"4620024.00",575.00,160.00
"4620025.00",660.00,155.00
"4620026.00",575.00,135.00
"4620027.00",360.00,90.00
"4620028.00",430.00,85.00
"4620029.00",730.00,170.00
"4620030.00",640.00,120.00
"4620031.00",520.00,95.00
"4620032.00",315.00,50.00
"4620033.00",375.00,75.00
"4620034.00",565.00,145.00
"4620035.00",450.00,115.00
"4620036.00",425.00,90.00
"4620037.00",640.00,135.00
"4620038.00",405.00,110.00
"4620039.00",385.00,90.00
"4620040.00",,
"4620041.00",300.00,50.00
"4620042.00",185.00,15.00
"4620043.00",170.00,10.00
"4620044.00",395.00,65.00
"4620045.00",240.00,20.00
"4620046.00",395.00,100.00
"4620047.00",160.00,40.00
"4620048.00",455.00,85.00
"4620049.00",240.00,40.00
"4620050.00",255.00,70.00
"4620051.00",250.00,30.00
"4620052.00",325.00,80.00
"4620053.00",180.00,10.00
"4620054.00",225.00,20.00
"4620055.01",1230.00,145.00
"4620055.02",275.00,20.00
"4620056.00",360.00,55.00
"4620057.00",245.00,35.00
"4620058.00",205.00,25.00
"4620059.00",285.00,20.00
"4620060.00",265.00,105.00
"4620061.00",125.00,20.00
"4620062.00",500.00,65.00
"4620063.00",185.00,40.00
"4620064.00",315.00,45.00
"4620065.01",970.00,135.00
"4620065.02",615.00,105.00
"4620066.01",560.00,70.00
"4620066.02",295.00,40.00
"4620067.00",425.00,130.00
"4620068.00",415.00,195.00
"4620069.01",985.00,115.00
"4620069.02",355.00,50.00
"4620070.01",495.00,35.00
"4620070.02",645.00,40.00
"4620071.00",,
"4620072.00",875.00,270.00
"4620073.00",425.00,90.00
"4620074.00",925.00,270.00
"4620075.00",665.00,185.00
"4620076.00",710.00,180.00
"4620077.00",700.00,215.00
"4620078.00",1030.00,215.00
"4620079.00",1075.00,215.00
"4620080.00",155.00,25.00
"4620081.00",745.00,105.00
"4620082.00",490.00,150.00
"4620083.00",835.00,200.00
"4620084.00",540.00,155.00
"4620085.00",185.00,60.00
"4620086.00",1015.00,210.00
"4620087.00",895.00,270.00
"4620088.00",855.00,180.00
"4620089.00",1230.00,270.00
"4620090.00",1195.00,265.00
"4620091.00",,
"4620092.00",1555.00,345.00
"4620093.00",820.00,210.00
"4620094.01",1430.00,430.00
"4620094.02",,
"4620095.00",405.00,80.00
"4620096.00",545.00,125.00
"4620097.01",1475.00,330.00
"4620097.02",835.00,165.00
"4620098.00",1460.00,320.00
"4620099.00",1425.00,315.00
"4620100.01",1075.00,260.00
"4620100.02",950.00,235.00
"4620101.01",1030.00,280.00
"4620101.02",965.00,315.00
"4620102.00",1125.00,230.00
"4620103.00",630.00,75.00
"4620104.00",740.00,90.00
"4620105.00",905.00,195.00
"4620106.00",485.00,95.00
"4620107.00",320.00,80.00
"4620108.00",980.00,175.00
"4620109.00",510.00,105.00
"4620110.00",900.00,205.00
"4620111.00",1650.00,375.00
"4620112.01",1235.00,285.00
"4620112.02",930.00,235.00
"4620113.00",1255.00,315.00
"4620114.00",515.00,95.00
"4620115.01",520.00,90.00
"4620115.02",1250.00,215.00
"4620116.00",1395.00,300.00
"4620117.00",980.00,210.00
"4620118.00",1030.00,245.00
"4620119.00",1565.00,420.00
"4620120.01",1470.00,290.00
"4620120.02",305.00,30.00
"4620121.00",500.00,90.00
"4620122.00",1430.00,395.00
"4620123.00",1310.00,260.00
"4620124.00",1305.00,290.00
"4620125.00",1535.00,215.00
"4620126.00",340.00,55.00
"4620127.01",1020.00,180.00
"4620127.02",,
"4620128.00",915.00,105.00
"4620129.01",885.00,100.00
"4620129.02",610.00,95.00
"4620130.00",280.00,40.00
"4620131.00",410.00,60.00
"4620132.00",640.00,95.00
"4620133.00",410.00,55.00
"4620134.00",255.00,20.00
"4620135.00",395.00,50.00
"4620136.00",565.00,70.00
"4620137.00",145.00,30.00
"4620138.00",365.00,65.00
"4620139.00",720.00,110.00
"4620140.00",345.00,45.00
"4620141.00",370.00,55.00
"4620142.00",380.00,75.00
"4620143.00",405.00,55.00
"4620144.00",765.00,90.00
"4620145.00",,
"4620146.00",515.00,65.00
"4620147.00",645.00,90.00
"4620148.00",240.00,45.00
"4620149.00",640.00,90.00
"4620150.00",475.00,120.00
"4620151.00",460.00,85.00
"4620152.00",325.00,60.00
"4620153.00",140.00,25.00
"4620154.00",275.00,35.00
"4620155.00",380.00,85.00
"4620156.00",445.00,75.00
"4620157.00",515.00,90.00
"4620158.00",415.00,60.00
"4620159.00",480.00,70.00
"4620160.00",355.00,45.00
"4620161.00",465.00,100.00
"4620162.00",315.00,60.00
"4620163.00",650.00,110.00
"4620164.00",290.00,55.00
"4620165.00",455.00,75.00
"4620166.00",125.00,20.00
"4620167.00",570.00,125.00
"4620168.00",585.00,80.00
"4620169.00",540.00,110.00
"4620170.00",475.00,95.00
"4620171.00",970.00,175.00
"4620172.00",485.00,55.00
"4620173.00",430.00,50.00
"4620174.00",465.00,60.00
"4620175.00",490.00,70.00
"4620176.00",380.00,50.00
"4620177.00",330.00,50.00
"4620178.00",510.00,100.00
"4620179.00",840.00,175.00
"4620180.00",745.00,185.00
"4620181.00",1040.00,235.00
"4620182.00",510.00,115.00
"4620183.00",525.00,130.00
"4620184.00",725.00,170.00
"4620185.00",1240.00,300.00
"4620186.00",1110.00,310.00
"4620187.01",605.00,105.00
"4620187.03",1205.00,300.00
"4620187.04",1505.00,275.00
"4620188.01",530.00,115.00
"4620188.02",615.00,125.00
"4620189.00",,
"4620190.01",950.00,170.00
"4620190.02",1145.00,110.00
"4620191.00",1585.00,265.00
"4620192.00",745.00,140.00
"4620193.00",545.00,105.00
"4620194.00",2120.00,490.00
"4620195.01",770.00,125.00
"4620195.02",1385.00,315.00
"4620195.03",1375.00,270.00
"4620196.00",960.00,210.00
"4620197.00",1175.00,240.00
"4620198.00",1215.00,265.00
"4620199.00",670.00,165.00
"4620200.00",1115.00,270.00
"4620201.00",1525.00,400.00
"4620202.00",950.00,215.00
"4620203.00",655.00,130.00
"4620204.00",635.00,130.00
"4620205.00",515.00,75.00
"4620206.00",630.00,115.00
"4620207.00",725.00,165.00
"4620208.00",555.00,115.00
"4620209.00",1290.00,275.00
"4620210.00",860.00,165.00
"4620211.00",490.00,75.00
"4620212.00",580.00,90.00
"4620213.00",570.00,85.00
"4620214.00",600.00,105.00
"4620215.00",650.00,120.00
"4620216.00",495.00,95.00
"4620217.00",615.00,115.00
"4620218.00",700.00,115.00
"4620219.00",665.00,115.00
"4620220.00",1235.00,250.00
"4620221.00",1405.00,315.00
"4620222.00",920.00,210.00
"4620223.01",970.00,235.00
"4620223.02",780.00,190.00
"4620224.00",1445.00,320.00
"4620225.00",360.00,80.00
"4620226.00",790.00,150.00
"4620227.00",405.00,55.00
"4620228.00",405.00,65.00
"4620229.00",,
"4620230.00",480.00,80.00
"4620231.00",420.00,80.00
"4620232.00",950.00,135.00
"4620233.00",425.00,70.00
"4620234.00",450.00,65.00
"4620235.00",465.00,80.00
"4620236.00",400.00,75.00
"4620237.00",865.00,145.00
"4620238.00",580.00,90.00
"4620239.00",1040.00,195.00
"4620240.00",735.00,215.00
"4620241.00",710.00,215.00
"4620242.00",1470.00,375.00
"4620243.00",1000.00,240.00
"4620244.00",535.00,125.00
"4620245.00",685.00,120.00
"4620247.00",515.00,75.00
"4620249.00",990.00,225.00
"4620250.00",1020.00,245.00
"4620251.01",890.00,245.00
"4620251.02",675.00,175.00
"4620252.00",1285.00,330.00
"4620253.00",885.00,225.00
"4620254.00",1020.00,265.00
"4620256.00",980.00,330.00
"4620257.00",1185.00,395.00
"4620258.00",1335.00,460.00
"4620259.00",1485.00,540.00
"4620260.00",595.00,195.00
"4620261.00",700.00,230.00
"4620262.00",1185.00,395.00
"4620263.00",1060.00,315.00
"4620264.01",1460.00,300.00
"4620264.02",1280.00,285.00
"4620265.00",1145.00,250.00
"4620266.00",765.00,170.00
"4620267.00",1675.00,375.00
"4620268.01",1630.00,275.00
"4620268.02",1500.00,290.00
"4620268.03",,
"4620269.00",985.00,245.00
"4620270.00",1075.00,190.00
"4620271.00",940.00,180.00
"4620272.00",960.00,225.00
"4620273.00",1100.00,265.00
"4620274.00",790.00,200.00
"4620275.00",995.00,225.00
"4620276.00",1260.00,300.00
"4620277.00",895.00,215.00
"4620278.00",1085.00,220.00
"4620279.00",1115.00,180.00
"4620280.00",1125.00,195.00
"4620281.00",855.00,125.00
"4620282.00",1675.00,350.00
"4620283.01",1025.00,175.00
"4620283.02",775.00,150.00
"4620284.00",900.00,130.00
"4620285.00",1500.00,305.00
"4620286.00",1355.00,265.00
"4620287.01",1485.00,355.00
"4620287.02",1190.00,205.00
"4620288.00",370.00,40.00
"4620290.01",745.00,140.00
"4620290.02",1690.00,375.00
"4620290.03",1215.00,360.00
"4620290.04",1950.00,485.00
"4620290.05",1285.00,285.00
"4620290.06",1560.00,370.00
"4620290.07",1160.00,295.00
"4620290.08",1220.00,225.00
"4620290.09",1410.00,370.00
"4620291.01",1080.00,230.00
"4620291.03",1520.00,245.00
"4620291.04",1345.00,195.00
"4620300.00",520.00,95.00
"4620301.00",1210.00,195.00
"4620302.00",690.00,135.00
"4620303.00",545.00,140.00
"4620304.00",795.00,165.00
"4620305.00",940.00,150.00
"4620306.00",725.00,185.00
"4620307.00",760.00,215.00
"4620308.00",700.00,195.00
"4620309.00",395.00,95.00
"4620310.00",910.00,190.00
"4620311.00",935.00,250.00
"4620312.00",825.00,190.00
"4620313.00",920.00,210.00
"4620314.00",690.00,155.00
"4620315.00",,
"4620316.00",595.00,70.00
"4620317.02",2175.00,285.00
"4620317.03",1260.00,185.00
"4620317.04",2285.00,270.00
"4620320.00",1280.00,290.00
"4620321.00",775.00,210.00
"4620322.02",1045.00,200.00
"4620322.03",1250.00,295.00
"4620322.04",760.00,125.00
"4620323.00",665.00,145.00
"4620324.01",1285.00,325.00
"4620324.02",745.00,170.00
"4620325.01",1055.00,285.00
"4620325.02",1715.00,450.00
"4620325.03",1030.00,265.00
"4620325.05",1850.00,320.00
"4620325.06",1205.00,190.00
"4620326.01",785.00,195.00
"4620326.02",880.00,225.00
"4620326.03",1355.00,355.00
"4620327.00",1255.00,295.00
"4620328.00",485.00,180.00
"4620329.00",965.00,235.00
"4620330.00",1360.00,385.00
"4620340.00",1480.00,205.00
"4620350.00",565.00,100.00
"4620351.00",1285.00,220.00
"4620352.00",770.00,145.00
"4620353.00",835.00,135.00
"4620354.00",870.00,85.00
"4620355.00",430.00,55.00
"4620356.00",585.00,55.00
"4620360.00",530.00,50.00
"4620361.00",320.00,50.00
"4620362.00",610.00,75.00
"4620363.00",1120.00,125.00
"4620364.00",605.00,90.00
"4620365.00",765.00,165.00
"4620366.00",680.00,120.00
"4620367.00",1110.00,255.00
"4620370.00",1900.00,235.00
"4620380.00",1100.00,190.00
"4620381.00",1575.00,330.00
"4620382.01",970.00,120.00
"4620382.02",1230.00,160.00
"4620383.01",760.00,120.00
"4620383.02",2275.00,320.00
"4620385.00",400.00,85.00
"4620390.00",285.00,85.00
"4620391.00",380.00,90.00
"4620392.00",355.00,80.00
"4620393.00",1815.00,480.00
"4620394.00",970.00,280.00
"4620395.01",590.00,305.00
"4620395.02",1550.00,380.00
"4620395.03",1185.00,265.00
"4620396.00",1550.00,280.00
"4620397.00",1185.00,135.00
"4620400.00",1515.00,255.00
"4620401.00",840.00,125.00
"4620402.00",465.00,75.00
"4620403.00",1400.00,175.00
"4620404.00",1330.00,175.00
"4620410.01",1505.00,290.00
"4620410.02",1495.00,265.00
"4620410.03",515.00,135.00
"4620412.00",1960.00,350.00
"4620413.01",1140.00,155.00
"4620413.02",995.00,225.00
"4620415.03",1140.00,200.00
"4620415.04",1240.00,275.00
"4620415.05",2175.00,255.00
"4620415.06",2225.00,295.00
"4620416.01",1190.00,165.00
"4620416.02",850.00,170.00
"4620417.01",1265.00,225.00
"4620417.02",700.00,190.00
"4620418.00",1530.00,320.00
"4620419.00",1180.00,300.00
"4620420.00",1295.00,215.00
"4620421.01",1920.00,390.00
"4620421.02",1905.00,385.00
"4620430.00",1665.00,315.00
"4620431.00",1495.00,280.00
"4620432.00",930.00,125.00
"4620433.00",1030.00,180.00
"4620440.00",,
"4620450.00",2025.00,280.00
"4620451.00",1885.00,280.00
"4620452.00",1805.00,365.00
"4620453.01",1555.00,220.00
"4620453.02",1315.00,160.00
"4620460.00",1595.00,170.00
"4620461.00",865.00,85.00
"4620462.01",1495.00,185.00
"4620462.02",1670.00,195.00
"4620470.01",2085.00,310.00
"4620470.03",1490.00,130.00
"4620470.04",1130.00,135.00
"4620470.05",1260.00,115.00
"4620480.00",1120.00,100.00
"4620490.00",555.00,120.00
"4620491.00",600.00,60.00
"4620500.00",285.00,30.00
"4620511.01",940.00,160.00
"4620511.02",1630.00,395.00
"4620512.02",1230.00,175.00
"4620512.03",620.00,115.00
"4620512.04",1840.00,360.00
"4620513.01",1440.00,275.00
"4620513.02",1115.00,220.00
"4620514.01",1955.00,360.00
"4620514.02",1815.00,310.00
"4620515.01",1670.00,220.00
"4620515.02",1250.00,235.00
"4620515.03",970.00,150.00
"4620515.04",1040.00,200.00
"4620520.02",2020.00,435.00
"4620520.03",1045.00,205.00
"4620520.04",1235.00,265.00
"4620521.01",1355.00,325.00
"4620521.04",1455.00,180.00
"4620521.05",1290.00,135.00
"4620521.06",1475.00,165.00
"4620521.07",1150.00,135.00
"4620522.01",1055.00,120.00
"4620522.02",1010.00,150.00
"4620523.00",715.00,75.00
"4620530.00",1745.00,285.00
"4620540.00",870.00,260.00
"4620550.02",955.00,145.00
"4620550.03",1875.00,205.00
"4620550.04",1435.00,205.00
"4620570.00",1000.00,305.00
"4620580.01",1210.00,285.00
"4620580.02",950.00,245.00
"4620580.03",1185.00,200.00
"4620581.01",1510.00,365.00
"4620581.02",985.00,290.00
"4620582.01",1720.00,415.00
"4620582.02",1690.00,420.00
"4620583.00",915.00,215.00
"4620584.00",1860.00,500.00
"4620585.01",615.00,95.00
"4620585.02",1015.00,220.00
"4620590.01",1450.00,365.00
"4620590.02",875.00,265.00
"4620591.01",720.00,115.00
"4620591.02",1125.00,200.00
"4620592.00",1970.00,425.00
"4620593.01",1230.00,130.00
"4620593.02",1185.00,275.00
"4620594.01",695.00,190.00
"4620594.02",2075.00,370.00
"4620600.01",1095.00,220.00
"4620600.02",1050.00,235.00
"4620600.03",1545.00,340.00
"4620601.01",880.00,175.00
"4620601.02",1150.00,245.00
"4620602.01",1080.00,210.00
"4620602.02",755.00,160.00
"4620603.01",1000.00,225.00
"4620603.02",1070.00,255.00
"4620603.03",935.00,220.00
"4620604.01",930.00,130.00
"4620604.02",1250.00,295.00
"4620604.03",855.00,185.00
"4620604.04",980.00,225.00
"4620604.05",1455.00,290.00
"4620605.01",935.00,220.00
"4620605.02",595.00,65.00
"4620605.03",1600.00,350.00
"4620605.04",1375.00,295.00
"4620605.05",625.00,115.00
"4620610.01",1180.00,405.00
"4620610.02",1210.00,340.00
"4620610.03",1340.00,320.00
"4620610.04",940.00,420.00
"4620610.05",1125.00,545.00
"4620610.06",720.00,245.00
"4620610.07",845.00,360.00
"4620611.01",770.00,240.00
"4620611.02",1425.00,395.00
"4620612.00",1200.00,355.00
"4620613.00",1845.00,465.00
"4620614.00",850.00,220.00
"4620615.00",1455.00,425.00
"4620616.00",1645.00,555.00
"4620617.01",1465.00,330.00
"4620617.02",1025.00,280.00
"4620618.00",800.00,220.00
"4620619.00",1125.00,245.00
"4620625.01",1745.00,345.00
"4620625.02",2175.00,420.00
"4620626.00",2050.00,355.00
"4620627.00",1600.00,375.00
"4620628.01",1370.00,320.00
"4620628.02",1070.00,250.00
"4620629.00",1025.00,150.00
"4620630.01",1115.00,135.00
"4620630.02",1545.00,185.00
"4620631.00",2205.00,225.00
"4620632.01",1465.00,250.00
"4620632.02",1400.00,290.00
"4620632.03",1370.00,190.00
"4620632.04",2050.00,365.00
"4620633.00",1475.00,235.00
"4620634.00",840.00,155.00
"4620635.00",1215.00,270.00
"4620636.00",2010.00,590.00
"4620637.01",1485.00,275.00
"4620637.02",1120.00,295.00
"4620638.01",1520.00,275.00
"4620638.02",600.00,105.00
"4620638.03",1150.00,250.00
"4620638.04",1635.00,460.00
"4620639.00",955.00,175.00
"4620640.00",1000.00,225.00
"4620641.01",2015.00,440.00
"4620641.02",930.00,115.00
"4620642.00",2000.00,420.00
"4620643.01",1545.00,155.00
"4620643.02",1825.00,260.00
"4620643.03",1500.00,350.00
"4620644.00",340.00,55.00
"4620645.00",1180.00,250.00
"4620646.01",885.00,250.00
"4620646.02",1070.00,255.00
"4620646.03",860.00,160.00
"4620647.01",870.00,70.00
"4620647.02",1910.00,330.00
"4620648.00",1465.00,270.00
"4620649.01",760.00,130.00
"4620649.02",1590.00,310.00
"4620650.01",1280.00,230.00
"4620650.02",1110.00,210.00
"4620650.04",1905.00,355.00
"4620650.05",1130.00,190.00
"4620651.01",1830.00,295.00
"4620651.02",2150.00,245.00
"4620652.01",2335.00,300.00
"4620652.04",1265.00,185.00
"4620652.06",1190.00,180.00
"4620652.07",2565.00,305.00
"4620652.08",1415.00,155.00
"4620652.09",1175.00,145.00
"4620653.00",305.00,30.00
"4620654.00",215.00,15.00
"4620655.01",1165.00,255.00
"4620655.02",1895.00,350.00
"4620656.01",1915.00,315.00
"4620656.03",1145.00,180.00
"4620656.04",2050.00,245.00
"4620657.01",1080.00,215.00
"4620657.02",1735.00,320.00
"4620657.03",1300.00,175.00
"4620658.01",1325.00,215.00
"4620658.02",1010.00,115.00
"4620658.03",2375.00,375.00
"4620659.04",1325.00,145.00
"4620659.05",2225.00,330.00
"4620659.06",1045.00,170.00
"4620659.08",1870.00,350.00
"4620659.09",920.00,90.00
"4620659.1",945.00,85.00
"4620659.11",1775.00,375.00
"4620660.01",1610.00,200.00
"4620660.02",1630.00,320.00
"4620660.03",2005.00,285.00
"4620661.01",2805.00,510.00
"4620661.03",1320.00,175.00
"4620661.04",1380.00,325.00
"4620662.00",1420.00,220.00
"4620675.00",1710.00,255.00
"4620676.01",1035.00,175.00
"4620676.02",915.00,120.00
"4620676.03",775.00,105.00
"4620676.04",1005.00,110.00
"4620677.01",1760.00,295.00
"4620677.02",1530.00,375.00
"4620677.05",1455.00,135.00
"4620677.06",2435.00,315.00
"4620677.07",1215.00,275.00
"4620677.08",2190.00,350.00
"4620677.09",1315.00,220.00
"4620677.1",1340.00,200.00
"4620681.00",1055.00,165.00
"4620682.02",695.00,135.00
"4620682.03",2245.00,530.00
"4620682.04",1035.00,155.00
"4620682.05",950.00,160.00
"4620682.06",1445.00,210.00
"4620683.00",1750.00,320.00
"4620684.03",2670.00,315.00
"4620684.05",1685.00,210.00
"4620684.08",1690.00,220.00
"4620684.09",1015.00,145.00
"4620684.1",1200.00,200.00
"4620684.11",1325.00,240.00
"4620685.02",1275.00,215.00
"4620685.03",1635.00,310.00
"4620685.04",980.00,135.00
"4620685.05",1260.00,250.00
"4620685.07",1695.00,240.00
"4620685.08",2870.00,540.00
"4620686.01",1700.00,220.00
"4620686.02",1210.00,195.00
"4620686.03",1010.00,175.00
"4620687.01",1365.00,190.00
"4620687.03",2895.00,360.00
"4620687.04",1480.00,245.00
"4620687.06",1600.00,330.00
"4620687.07",1800.00,255.00
"4620687.09",1030.00,170.00
"4620687.1",2535.00,325.00
