GEOUID,COL7,COL10
4620000,12,7.5
4620001,16.8,5
4620002,16.6,6.4
4620003,15.2,9.3
4620004,14.7,10.2
4620005,16.3,9.3
4620006,22.2,10.9
4620007,14.8,9.2
4620008,10.4,7.9
4620009,16.1,10
4620010,16.8,6.4
4620011,14.4,8.3
4620012.01,20.8,7.5
4620012.02,22.3,12.9
4620013,14.7,6.1
4620014.01,24.4,8
4620014.02,,
4620015,24.6,8.1
4620016,30.5,14
4620017,24,12
4620018,26.3,7.9
4620019,28.9,8.6
4620021,36.9,13.4
4620022,24.7,9.4
4620023,30.4,13
4620024,28.8,6.9
4620025,26.1,8
4620026,24.1,6.6
4620027,25.8,9.1
4620028,26.3,6.4
4620029,27.3,7.4
4620030,29.2,9.5
4620031,25.1,8.6
4620032,29.3,8.2
4620033,29.4,9.2
4620034,28.4,9.1
4620035,26.1,8.7
4620036,26.1,7.8
4620037,29.2,7.7
4620038,38.8,13
4620039,31.3,8.8
4620040,,
4620041,29.7,10.1
4620042,30.5,4.9
4620043,29.1,5.9
4620044,31.5,9.5
4620045,31.7,13.9
4620046,27.6,6.5
4620047,27.7,8.4
4620048,27.3,5.3
4620049,33.3,8.6
4620050,37.8,8.9
4620051,33.7,5.9
4620052,39.5,11.7
4620053,26.1,6.6
4620054,24.3,10.2
4620055.01,15.6,4.1
4620055.02,7.9,5.6
4620056,27.2,9.2
4620057,36.5,8.1
4620058,34.5,7.8
4620059,24.2,10.6
4620060,50.2,22.2
4620061,30.6,8.2
4620062,33.2,6
4620063,52.6,8.2
4620064,51,12.8
4620065.01,58.3,15.5
4620065.02,51.5,17.5
4620066.01,50.9,14.6
4620066.02,51.7,12.1
4620067,31.8,15.2
4620068,47.2,23.5
4620069.01,21.8,9.8
4620069.02,13.7,4.8
4620070.01,11,5.8
4620070.02,13.1,4
4620071,,
4620072,27.8,8.2
4620073,25.3,8.1
4620074,23.6,10.7
4620075,27.3,9.4
4620076,22.3,8
4620077,29.1,12.6
4620078,26.6,6.7
4620079,23,6.5
4620080,22.4,11.4
4620081,20.9,6.2
4620082,29.1,8.7
4620083,21.4,6.9
4620084,26.5,11.2
4620085,24.8,13.5
4620086,18.8,8.2
4620087,23.6,9.6
4620088,20.2,7.9
4620089,19.3,7.8
4620090,22.7,8.3
4620091,,
4620092,18.3,9.3
4620093,21.6,7.6
4620094.01,28.5,11.9
4620094.02,,
4620095,29.4,7.5
4620096,19.2,9.6
4620097.01,28.6,10.4
4620097.02,38,12.4
4620098,12.2,9
4620099,18.8,9.6
4620100.01,18.6,8.8
4620100.02,19.4,11.4
4620101.01,24.5,11.8
4620101.02,23.7,11.7
4620102,13.2,6.3
4620103,11.4,7.9
4620104,10.7,6.7
4620105,11.7,5.2
4620106,17.1,7.8
4620107,25.2,11.4
4620108,11.6,6
4620109,21.7,12
4620110,23.6,10.5
4620111,18.1,9
4620112.01,20.6,9.4
4620112.02,26.1,9
4620113,22.6,9.7
4620114,21.1,8.4
4620115.01,18,6.2
4620115.02,29.1,11.6
4620116,29.9,12.2
4620117,23.3,9.5
4620118,23.2,10.8
4620119,27,11.7
4620120.01,20.5,7.8
4620120.02,7.3,5.2
4620121,11.6,5.8
4620122,35.5,16.1
4620123,33.5,15.1
4620124,30.5,16.8
4620125,15.9,10
4620126,39.5,18.4
4620127.01,43.2,15.7
4620127.02,,
4620128,16.5,9.5
4620129.01,27.3,9.8
4620129.02,41.8,18.3
4620130,56.4,20.2
4620131,51.9,16.7
4620132,40.7,15.2
4620133,37.4,15.2
4620134,22.3,6.4
4620135,24.9,5.5
4620136,28.4,8.4
4620137,42.3,15.6
4620138,31.2,8.2
4620139,23.9,7.2
4620140,15.1,4.9
4620141,18.5,6.4
4620142,27.6,8
4620143,26.6,11.8
4620144,23.2,8.8
4620145,,
4620146,24.6,9.3
4620147,17.9,8
4620148,18.8,8.3
4620149,23.6,8.6
4620150,30.2,8.3
4620151,20.8,4.9
4620152,21.8,6.1
4620153,31.1,8.6
4620154,16.6,3.9
4620155,21.9,7.5
4620156,22.1,5.4
4620157,16.1,5.2
4620158,21.8,5.6
4620159,17,5.4
4620160,26.2,5.4
4620161,24.8,7.1
4620162,25.2,6.2
4620163,23.7,7.8
4620164,17.9,7.9
4620165,24,10.1
4620166,18.4,3.2
4620167,17.8,7.8
4620168,17.2,5.2
4620169,16.9,6
4620170,22.3,7.5
4620171,24.9,7.2
4620172,29.7,9.3
4620173,20.8,5.6
4620174,12.2,4.8
4620175,12.5,3.6
4620176,18.7,7
4620177,15.2,6.7
4620178,21.1,5.9
4620179,23.5,7.5
4620180,21.8,9.8
4620181,19.8,5.3
4620182,16.2,6.4
4620183,17.6,7.2
4620184,15.1,5
4620185,17.2,7.2
4620186,23,10.6
4620187.01,23.1,9
4620187.03,15.7,7.9
